PDF file,pdfplumber time (s),pdfplumber chars,pdfplumber failures,PyMuPDF time (s),PyMuPDF chars,PyMuPDF failures
1512.03385v1,1.6277,55456,none,0.0872,59437,none
1706.03762v7,2.8798,35526,none,0.0894,39513,none
1810.04805v2,2.099,61505,none,0.068,64133,none
2205.14135v2,3.0465,109715,none,0.1087,108847,none
2302.13971v1,2.7743,81548,none,0.0657,87898,none
2303.08774v6,6.5346,270660,none,0.1884,284083,none
2405.14458v2,2.1971,66961,none,0.0633,73897,none
2407.21783v3,16.5592,352195,none,0.3819,357006,none
2412.19437v2,8.5884,136067,none,0.1694,150417,none
Amazon-2024-Annual-Report,8.81,314435,none,0.1659,325018,none
text,31.3126,608047,none,0.5413,615016,none
TSLA-Q4-2025-Update,2.9246,49889,none,0.1058,50407,none
